2025-04-30 15:31:08.302 INFO: ===========VERIFYING SETTINGS===========
2025-04-30 15:31:08.302 INFO: MACE version: 0.3.13
2025-04-30 15:31:08.447 INFO: CUDA version: 11.7, CUDA device: 0
2025-04-30 15:31:09.002 INFO: ===========LOADING INPUT DATA===========
2025-04-30 15:31:09.002 INFO: Using heads: ['Default']
2025-04-30 15:31:09.002 INFO: Using the key specifications to parse data:
2025-04-30 15:31:09.002 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-04-30 15:31:09.002 INFO: =============    Processing head Default     ===========
2025-04-30 15:31:09.366 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 651, head: 651, forces: 0, dipole_deriv: 0, polarizability_deriv: 651]
2025-04-30 15:31:09.370 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 651, head: 651, forces: 0, dipole_deriv: 0, polarizability_deriv: 651]
2025-04-30 15:31:09.370 INFO: No validation set provided, splitting training data instead.
2025-04-30 15:31:09.373 INFO: Using random 5% of training set for validation with indices saved in: ./valid_indices_123.txt
2025-04-30 15:31:09.377 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 619, head: 619, forces: 0, dipole_deriv: 0, polarizability_deriv: 619]
2025-04-30 15:31:09.377 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 32, head: 32, forces: 0, dipole_deriv: 0, polarizability_deriv: 32]
2025-04-30 15:31:09.680 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 651, head: 651, forces: 0, dipole_deriv: 0, polarizability_deriv: 651]
2025-04-30 15:31:09.685 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 651, head: 651, forces: 0, dipole_deriv: 0, polarizability_deriv: 651]
2025-04-30 15:31:09.685 INFO: Total number of configurations: train=619, valid=32, tests=[mono_Default: 76, bi_Default: 575],
2025-04-30 15:31:09.686 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-04-30 15:31:09.687 INFO: Processing datasets for head 'Default'
2025-04-30 15:31:10.268 INFO: Combining 1 list datasets for head 'Default'
2025-04-30 15:31:10.285 INFO: Head 'Default' training dataset size: 619
2025-04-30 15:31:10.285 INFO: Computing average number of neighbors
2025-04-30 15:31:17.188 INFO: Average number of neighbors: 71.95166279969064
2025-04-30 15:31:17.188 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-04-30 15:31:17.188 INFO: ===========MODEL DETAILS===========
2025-04-30 15:31:17.188 INFO: Building model
2025-04-30 15:31:17.189 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-04-30 15:31:17.189 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-04-30 15:31:17.189 INFO: 8 radial and 5 basis functions
2025-04-30 15:31:17.189 INFO: Radial cutoff: 8.0 A (total receptive field for each atom: 16.0 A)
2025-04-30 15:31:17.189 INFO: Distance transform for radial basis functions: None
2025-04-30 15:31:17.189 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-04-30 15:31:59.015 INFO: Total number of parameters: 1104320
2025-04-30 15:31:59.016 INFO: 
2025-04-30 15:31:59.016 INFO: ===========OPTIMIZER INFORMATION===========
2025-04-30 15:31:59.016 INFO: Using ADAM as parameter optimizer
2025-04-30 15:31:59.016 INFO: Batch size: 10
2025-04-30 15:31:59.016 INFO: Number of gradient updates: 30950
2025-04-30 15:31:59.016 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-04-30 15:31:59.016 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=10.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=1.000)
2025-04-30 15:31:59.021 WARNING: Cannot find checkpoint with tag 'MoWSSe_aligned_ndata651_r8_w10_1_new_run-123' in './checkpoints'
2025-04-30 15:31:59.021 INFO: Using gradient clipping with tolerance=10.000
2025-04-30 15:31:59.021 INFO: 
2025-04-30 15:31:59.021 INFO: ===========TRAINING===========
2025-04-30 15:31:59.021 INFO: Started training, reporting errors on validation set
2025-04-30 15:31:59.021 INFO: Loss metrics on validation set
2025-04-30 15:32:14.400 INFO: Initial: head: Default, loss=154.1573, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=   10.85, RMSE_ALPHA_DERIV=    8.83
2025-04-30 15:32:36.485 INFO: Epoch 0: head: Default, loss=8.1240, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.04 mDebye / A, RMSE_ALPHA_per_atom=    1.04, RMSE_ALPHA_DERIV=    8.35
2025-04-30 15:32:50.793 INFO: Epoch 1: head: Default, loss=4.2961, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.04 mDebye / A, RMSE_ALPHA_per_atom=    0.41, RMSE_ALPHA_DERIV=    6.63
2025-04-30 15:33:05.151 INFO: Epoch 2: head: Default, loss=2.1704, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.36, RMSE_ALPHA_DERIV=    4.63
2025-04-30 15:33:19.566 INFO: Epoch 3: head: Default, loss=2.5548, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.68, RMSE_ALPHA_DERIV=    4.51
2025-04-30 15:33:33.837 INFO: Epoch 4: head: Default, loss=1.5381, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    3.84
2025-04-30 15:33:48.333 INFO: Epoch 5: head: Default, loss=1.3813, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    3.73
2025-04-30 15:34:02.719 INFO: Epoch 6: head: Default, loss=1.3314, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.37, RMSE_ALPHA_DERIV=    3.54
2025-04-30 15:34:17.094 INFO: Epoch 7: head: Default, loss=1.0887, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    3.24
2025-04-30 15:34:31.453 INFO: Epoch 8: head: Default, loss=1.0807, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.23, RMSE_ALPHA_DERIV=    3.22
2025-04-30 15:34:45.861 INFO: Epoch 9: head: Default, loss=1.2136, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    3.22
2025-04-30 15:35:00.225 INFO: Epoch 10: head: Default, loss=0.7805, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    2.77
2025-04-30 15:35:14.651 INFO: Epoch 11: head: Default, loss=0.9343, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.43, RMSE_ALPHA_DERIV=    2.72
2025-04-30 15:35:28.927 INFO: Epoch 12: head: Default, loss=0.9942, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    3.08
2025-04-30 15:35:43.300 INFO: Epoch 13: head: Default, loss=1.4784, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.42, RMSE_ALPHA_DERIV=    3.44
2025-04-30 15:35:57.692 INFO: Epoch 14: head: Default, loss=0.7177, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    2.53
2025-04-30 15:36:12.151 INFO: Epoch 15: head: Default, loss=0.7288, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    2.57
2025-04-30 15:36:26.445 INFO: Epoch 16: head: Default, loss=0.7424, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    2.59
2025-04-30 15:36:40.861 INFO: Epoch 17: head: Default, loss=0.9243, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.34, RMSE_ALPHA_DERIV=    2.77
