2025-04-30 15:33:55.258 INFO: ===========VERIFYING SETTINGS===========
2025-04-30 15:33:55.258 INFO: MACE version: 0.3.13
2025-04-30 15:33:55.389 INFO: CUDA version: 11.7, CUDA device: 0
2025-04-30 15:33:55.499 INFO: ===========LOADING INPUT DATA===========
2025-04-30 15:33:55.499 INFO: Using heads: ['Default']
2025-04-30 15:33:55.499 INFO: Using the key specifications to parse data:
2025-04-30 15:33:55.499 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-04-30 15:33:55.499 INFO: =============    Processing head Default     ===========
2025-04-30 15:33:55.806 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 320, head: 320, forces: 0, dipole_deriv: 0, polarizability_deriv: 320]
2025-04-30 15:33:55.809 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 320, head: 320, forces: 0, dipole_deriv: 0, polarizability_deriv: 320]
2025-04-30 15:33:55.809 INFO: No validation set provided, splitting training data instead.
2025-04-30 15:33:55.811 INFO: Using random 5% of training set for validation with indices saved in: ./valid_indices_123.txt
2025-04-30 15:33:55.813 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 304, head: 304, forces: 0, dipole_deriv: 0, polarizability_deriv: 304]
2025-04-30 15:33:55.813 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 16, head: 16, forces: 0, dipole_deriv: 0, polarizability_deriv: 16]
2025-04-30 15:33:56.059 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 320, head: 320, forces: 0, dipole_deriv: 0, polarizability_deriv: 320]
2025-04-30 15:33:56.062 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 320, head: 320, forces: 0, dipole_deriv: 0, polarizability_deriv: 320]
2025-04-30 15:33:56.062 INFO: Total number of configurations: train=304, valid=16, tests=[Default_Default: 320],
2025-04-30 15:33:56.064 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-04-30 15:33:56.064 INFO: Processing datasets for head 'Default'
2025-04-30 15:33:56.249 INFO: Combining 1 list datasets for head 'Default'
2025-04-30 15:33:56.260 INFO: Head 'Default' training dataset size: 304
2025-04-30 15:33:56.260 INFO: Computing average number of neighbors
2025-04-30 15:33:56.922 INFO: Average number of neighbors: 19.025185185185187
2025-04-30 15:33:56.922 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-04-30 15:33:56.923 INFO: ===========MODEL DETAILS===========
2025-04-30 15:33:56.923 INFO: Building model
2025-04-30 15:33:56.923 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-04-30 15:33:56.923 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-04-30 15:33:56.923 INFO: 8 radial and 5 basis functions
2025-04-30 15:33:56.923 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2025-04-30 15:33:56.923 INFO: Distance transform for radial basis functions: None
2025-04-30 15:33:56.923 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-04-30 15:35:06.280 INFO: Total number of parameters: 1104320
2025-04-30 15:35:06.280 INFO: 
2025-04-30 15:35:06.280 INFO: ===========OPTIMIZER INFORMATION===========
2025-04-30 15:35:06.280 INFO: Using ADAM as parameter optimizer
2025-04-30 15:35:06.280 INFO: Batch size: 10
2025-04-30 15:35:06.280 INFO: Number of gradient updates: 15200
2025-04-30 15:35:06.280 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-04-30 15:35:06.280 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=10.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=1.000)
2025-04-30 15:35:06.291 WARNING: Cannot find checkpoint with tag 'MoWSSe_susram_ndata_all_weights_10_1_new_run-123' in './checkpoints'
2025-04-30 15:35:06.291 INFO: Using gradient clipping with tolerance=10.000
2025-04-30 15:35:06.291 INFO: 
2025-04-30 15:35:06.292 INFO: ===========TRAINING===========
2025-04-30 15:35:06.292 INFO: Started training, reporting errors on validation set
2025-04-30 15:35:06.292 INFO: Loss metrics on validation set
2025-04-30 15:35:10.498 INFO: Initial: head: Default, loss=185.1421, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=   11.39, RMSE_ALPHA_DERIV=   12.28
2025-04-30 15:35:29.640 INFO: Epoch 0: head: Default, loss=167.1563, RMSE_MU_per_atom=0.01 mDebye, RMSE_MU_DERIV=0.10 mDebye / A, RMSE_ALPHA_per_atom=    9.04, RMSE_ALPHA_DERIV=   22.09
2025-04-30 15:35:38.468 INFO: Epoch 1: head: Default, loss=11.0075, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.31 mDebye / A, RMSE_ALPHA_per_atom=    1.11, RMSE_ALPHA_DERIV=    8.36
2025-04-30 15:35:47.237 INFO: Epoch 2: head: Default, loss=6.3619, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.20 mDebye / A, RMSE_ALPHA_per_atom=    0.54, RMSE_ALPHA_DERIV=    6.58
2025-04-30 15:35:55.998 INFO: Epoch 3: head: Default, loss=5.3216, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.12 mDebye / A, RMSE_ALPHA_per_atom=    0.54, RMSE_ALPHA_DERIV=    5.90
2025-04-30 15:36:04.771 INFO: Epoch 4: head: Default, loss=4.9615, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.07 mDebye / A, RMSE_ALPHA_per_atom=    0.70, RMSE_ALPHA_DERIV=    5.55
2025-04-30 15:36:13.741 INFO: Epoch 5: head: Default, loss=4.2575, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.05 mDebye / A, RMSE_ALPHA_per_atom=    0.62, RMSE_ALPHA_DERIV=    5.21
2025-04-30 15:36:22.678 INFO: Epoch 6: head: Default, loss=3.2913, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.55, RMSE_ALPHA_DERIV=    4.51
2025-04-30 15:36:31.617 INFO: Epoch 7: head: Default, loss=2.8863, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.48, RMSE_ALPHA_DERIV=    4.25
2025-04-30 15:36:40.557 INFO: Epoch 8: head: Default, loss=2.6014, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    4.17
2025-04-30 15:36:49.512 INFO: Epoch 9: head: Default, loss=2.1959, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.35, RMSE_ALPHA_DERIV=    3.78
2025-04-30 15:36:58.465 INFO: Epoch 10: head: Default, loss=2.0730, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.31, RMSE_ALPHA_DERIV=    3.71
2025-04-30 15:37:07.421 INFO: Epoch 11: head: Default, loss=1.8586, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    3.54
2025-04-30 15:37:16.354 INFO: Epoch 12: head: Default, loss=1.7893, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    3.48
2025-04-30 15:37:25.316 INFO: Epoch 13: head: Default, loss=1.6984, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    3.41
2025-04-30 15:37:34.280 INFO: Epoch 14: head: Default, loss=1.5784, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    3.22
2025-04-30 15:37:43.229 INFO: Epoch 15: head: Default, loss=1.4752, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    3.14
2025-04-30 15:37:52.175 INFO: Epoch 16: head: Default, loss=1.3773, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    3.06
2025-04-30 15:38:01.142 INFO: Epoch 17: head: Default, loss=1.1514, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.80
