2025-07-12 22:50:03.275 INFO: ===========VERIFYING SETTINGS===========
2025-07-12 22:50:03.275 INFO: MACE version: 0.3.13
2025-07-12 22:50:03.388 INFO: CUDA version: 12.4, CUDA device: 0
2025-07-12 22:50:03.765 INFO: ===========LOADING INPUT DATA===========
2025-07-12 22:50:03.765 INFO: Using heads: ['Default']
2025-07-12 22:50:03.765 INFO: Using the key specifications to parse data:
2025-07-12 22:50:03.765 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-07-12 22:50:03.765 INFO: =============    Processing head Default     ===========
2025-07-12 22:50:03.917 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 160, head: 160, forces: 0, dipole_deriv: 0, polarizability_deriv: 160]
2025-07-12 22:50:03.917 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 160, head: 160, forces: 0, dipole_deriv: 0, polarizability_deriv: 160]
2025-07-12 22:50:03.918 INFO: No validation set provided, splitting training data instead.
2025-07-12 22:50:03.918 INFO: Using random 5% of training set for validation with following indices: [144, 73, 76, 5, 46, 150, 35, 153]
2025-07-12 22:50:03.919 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 152, head: 152, forces: 0, dipole_deriv: 0, polarizability_deriv: 152]
2025-07-12 22:50:03.919 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 8, head: 8, forces: 0, dipole_deriv: 0, polarizability_deriv: 8]
2025-07-12 22:50:04.029 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 160, head: 160, forces: 0, dipole_deriv: 0, polarizability_deriv: 160]
2025-07-12 22:50:04.030 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 160, head: 160, forces: 0, dipole_deriv: 0, polarizability_deriv: 160]
2025-07-12 22:50:04.030 INFO: Total number of configurations: train=152, valid=8, tests=[Default_Default: 160],
2025-07-12 22:50:04.030 WARNING: Validation batch size (10) is larger than the number of validation data (8)
2025-07-12 22:50:04.031 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-07-12 22:50:04.031 INFO: Processing datasets for head 'Default'
2025-07-12 22:50:04.228 INFO: Combining 1 list datasets for head 'Default'
2025-07-12 22:50:04.235 INFO: Head 'Default' training dataset size: 152
2025-07-12 22:50:04.235 INFO: Computing average number of neighbors
2025-07-12 22:50:04.498 INFO: Average number of neighbors: 19.012345679012345
2025-07-12 22:50:04.499 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-07-12 22:50:04.500 INFO: ===========MODEL DETAILS===========
2025-07-12 22:50:04.500 INFO: Building model
2025-07-12 22:50:04.500 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-07-12 22:50:04.500 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-07-12 22:50:04.500 INFO: 8 radial and 5 basis functions
2025-07-12 22:50:04.500 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2025-07-12 22:50:04.500 INFO: Distance transform for radial basis functions: None
2025-07-12 22:50:04.500 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-07-12 22:50:07.538 INFO: Total number of parameters: 1104272
2025-07-12 22:50:07.538 INFO: 
2025-07-12 22:50:07.539 INFO: ===========OPTIMIZER INFORMATION===========
2025-07-12 22:50:07.539 INFO: Using ADAM as parameter optimizer
2025-07-12 22:50:07.539 INFO: Batch size: 10
2025-07-12 22:50:07.539 INFO: Number of gradient updates: 30400
2025-07-12 22:50:07.539 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-07-12 22:50:07.540 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=1.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=0.000)
2025-07-12 22:50:07.544 WARNING: Cannot find checkpoint with tag 'MoWSSe_sus_ndata_all_subset_160_run-123' in './checkpoints'
2025-07-12 22:50:07.544 INFO: Using gradient clipping with tolerance=10.000
2025-07-12 22:50:07.544 INFO: 
2025-07-12 22:50:07.544 INFO: ===========TRAINING===========
2025-07-12 22:50:07.544 INFO: Started training, reporting errors on validation set
2025-07-12 22:50:07.544 INFO: Loss metrics on validation set
2025-07-12 22:50:10.762 INFO: Initial: head: Default, loss=15.2671, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=   11.05, RMSE_ALPHA_DERIV=   12.55
2025-07-12 22:50:46.820 INFO: Epoch 0: head: Default, loss=13.0842, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=   10.23, RMSE_ALPHA_DERIV=   12.70
2025-07-12 22:51:16.753 INFO: Epoch 1: head: Default, loss=4.8909, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.04 mDebye / A, RMSE_ALPHA_per_atom=    6.26, RMSE_ALPHA_DERIV=   22.41
2025-07-12 22:51:46.538 INFO: Epoch 2: head: Default, loss=0.5189, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    2.04, RMSE_ALPHA_DERIV=   17.95
2025-07-12 22:52:16.388 INFO: Epoch 3: head: Default, loss=0.2975, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.54, RMSE_ALPHA_DERIV=   17.70
2025-07-12 22:52:46.321 INFO: Epoch 4: head: Default, loss=0.2114, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.30, RMSE_ALPHA_DERIV=   17.22
2025-07-12 22:53:16.292 INFO: Epoch 5: head: Default, loss=0.1630, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.14, RMSE_ALPHA_DERIV=   17.10
2025-07-12 22:53:46.242 INFO: Epoch 6: head: Default, loss=0.1601, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.13, RMSE_ALPHA_DERIV=   17.52
2025-07-12 22:54:16.167 INFO: Epoch 7: head: Default, loss=0.1524, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.10, RMSE_ALPHA_DERIV=   18.15
2025-07-12 22:54:46.101 INFO: Epoch 8: head: Default, loss=0.1545, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.11, RMSE_ALPHA_DERIV=   17.46
2025-07-12 22:55:15.955 INFO: Epoch 9: head: Default, loss=0.1491, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    1.09, RMSE_ALPHA_DERIV=   17.29
2025-07-12 22:55:45.862 INFO: Epoch 10: head: Default, loss=0.1093, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.93, RMSE_ALPHA_DERIV=   17.18
2025-07-12 22:56:15.760 INFO: Epoch 11: head: Default, loss=0.1002, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.90, RMSE_ALPHA_DERIV=   17.02
2025-07-12 22:56:45.631 INFO: Epoch 12: head: Default, loss=0.0967, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.88, RMSE_ALPHA_DERIV=   16.86
2025-07-12 22:57:15.469 INFO: Epoch 13: head: Default, loss=0.0744, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.77, RMSE_ALPHA_DERIV=   16.80
2025-07-12 22:57:45.336 INFO: Epoch 14: head: Default, loss=0.0756, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.78, RMSE_ALPHA_DERIV=   16.62
2025-07-12 22:58:15.141 INFO: Epoch 15: head: Default, loss=0.0670, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.73, RMSE_ALPHA_DERIV=   16.18
2025-07-12 22:58:44.991 INFO: Epoch 16: head: Default, loss=0.0577, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.68, RMSE_ALPHA_DERIV=   15.34
2025-07-12 22:59:14.875 INFO: Epoch 17: head: Default, loss=0.0695, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.75, RMSE_ALPHA_DERIV=   14.88
2025-07-12 22:59:44.673 INFO: Epoch 18: head: Default, loss=0.0312, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.50, RMSE_ALPHA_DERIV=   14.32
