2025-07-11 21:19:40.226 INFO: ===========VERIFYING SETTINGS===========
2025-07-11 21:19:40.226 INFO: MACE version: 0.3.13
2025-07-11 21:19:40.335 INFO: CUDA version: 12.4, CUDA device: 0
2025-07-11 21:19:40.567 INFO: ===========LOADING INPUT DATA===========
2025-07-11 21:19:40.567 INFO: Using heads: ['Default']
2025-07-11 21:19:40.567 INFO: Using the key specifications to parse data:
2025-07-11 21:19:40.567 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-07-11 21:19:40.567 INFO: =============    Processing head Default     ===========
2025-07-11 21:19:40.684 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 120, head: 120, forces: 0, dipole_deriv: 0, polarizability_deriv: 120]
2025-07-11 21:19:40.685 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 120, head: 120, forces: 0, dipole_deriv: 0, polarizability_deriv: 120]
2025-07-11 21:19:40.685 INFO: No validation set provided, splitting training data instead.
2025-07-11 21:19:40.685 INFO: Using random 5% of training set for validation with following indices: [46, 22, 91, 35, 25, 77]
2025-07-11 21:19:40.686 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 114, head: 114, forces: 0, dipole_deriv: 0, polarizability_deriv: 114]
2025-07-11 21:19:40.686 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 6, head: 6, forces: 0, dipole_deriv: 0, polarizability_deriv: 6]
2025-07-11 21:19:40.772 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 120, head: 120, forces: 0, dipole_deriv: 0, polarizability_deriv: 120]
2025-07-11 21:19:40.773 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 120, head: 120, forces: 0, dipole_deriv: 0, polarizability_deriv: 120]
2025-07-11 21:19:40.773 INFO: Total number of configurations: train=114, valid=6, tests=[Default_Default: 120],
2025-07-11 21:19:40.773 WARNING: Validation batch size (10) is larger than the number of validation data (6)
2025-07-11 21:19:40.774 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-07-11 21:19:40.774 INFO: Processing datasets for head 'Default'
2025-07-11 21:19:40.945 INFO: Combining 1 list datasets for head 'Default'
2025-07-11 21:19:40.949 INFO: Head 'Default' training dataset size: 114
2025-07-11 21:19:40.950 INFO: Computing average number of neighbors
2025-07-11 21:19:41.188 INFO: Average number of neighbors: 19.003367003367003
2025-07-11 21:19:41.189 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-07-11 21:19:41.189 INFO: ===========MODEL DETAILS===========
2025-07-11 21:19:41.189 INFO: Building model
2025-07-11 21:19:41.189 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-07-11 21:19:41.190 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-07-11 21:19:41.190 INFO: 8 radial and 5 basis functions
2025-07-11 21:19:41.190 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2025-07-11 21:19:41.190 INFO: Distance transform for radial basis functions: None
2025-07-11 21:19:41.190 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-07-11 21:19:43.801 INFO: Total number of parameters: 1104272
2025-07-11 21:19:43.801 INFO: 
2025-07-11 21:19:43.801 INFO: ===========OPTIMIZER INFORMATION===========
2025-07-11 21:19:43.801 INFO: Using ADAM as parameter optimizer
2025-07-11 21:19:43.801 INFO: Batch size: 10
2025-07-11 21:19:43.801 INFO: Number of gradient updates: 22800
2025-07-11 21:19:43.801 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-07-11 21:19:43.802 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=10.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=1.000)
2025-07-11 21:19:43.803 WARNING: Cannot find checkpoint with tag 'MoWSSe_susram_ndata_all_subset_120_weights_10_1_run-123' in './checkpoints'
2025-07-11 21:19:43.803 INFO: Using gradient clipping with tolerance=10.000
2025-07-11 21:19:43.803 INFO: 
2025-07-11 21:19:43.804 INFO: ===========TRAINING===========
2025-07-11 21:19:43.804 INFO: Started training, reporting errors on validation set
2025-07-11 21:19:43.804 INFO: Loss metrics on validation set
2025-07-11 21:19:46.638 INFO: Initial: head: Default, loss=165.0002, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    9.70, RMSE_ALPHA_DERIV=    6.94
2025-07-11 21:20:13.937 INFO: Epoch 0: head: Default, loss=156.6475, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    9.44, RMSE_ALPHA_DERIV=    6.92
2025-07-11 21:20:35.875 INFO: Epoch 1: head: Default, loss=26.9398, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.08 mDebye / A, RMSE_ALPHA_per_atom=    2.23, RMSE_ALPHA_DERIV=   10.58
2025-07-11 21:20:57.852 INFO: Epoch 2: head: Default, loss=28.3966, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.09 mDebye / A, RMSE_ALPHA_per_atom=    2.97, RMSE_ALPHA_DERIV=    9.05
2025-07-11 21:21:19.869 INFO: Epoch 3: head: Default, loss=20.9850, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.24 mDebye / A, RMSE_ALPHA_per_atom=    2.63, RMSE_ALPHA_DERIV=    7.55
2025-07-11 21:21:41.927 INFO: Epoch 4: head: Default, loss=7.5338, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.32 mDebye / A, RMSE_ALPHA_per_atom=    1.51, RMSE_ALPHA_DERIV=    4.74
2025-07-11 21:22:03.999 INFO: Epoch 5: head: Default, loss=7.6088, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.23 mDebye / A, RMSE_ALPHA_per_atom=    1.51, RMSE_ALPHA_DERIV=    4.77
2025-07-11 21:22:26.136 INFO: Epoch 6: head: Default, loss=6.0468, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.18 mDebye / A, RMSE_ALPHA_per_atom=    1.38, RMSE_ALPHA_DERIV=    4.17
2025-07-11 21:22:48.354 INFO: Epoch 7: head: Default, loss=5.6904, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.13 mDebye / A, RMSE_ALPHA_per_atom=    1.33, RMSE_ALPHA_DERIV=    4.04
2025-07-11 21:23:10.580 INFO: Epoch 8: head: Default, loss=4.6117, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.11 mDebye / A, RMSE_ALPHA_per_atom=    1.13, RMSE_ALPHA_DERIV=    3.85
2025-07-11 21:23:32.802 INFO: Epoch 9: head: Default, loss=2.8193, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.11 mDebye / A, RMSE_ALPHA_per_atom=    0.77, RMSE_ALPHA_DERIV=    3.33
2025-07-11 21:23:55.006 INFO: Epoch 10: head: Default, loss=2.6529, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.08 mDebye / A, RMSE_ALPHA_per_atom=    0.66, RMSE_ALPHA_DERIV=    3.41
2025-07-11 21:24:17.231 INFO: Epoch 11: head: Default, loss=1.9291, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.06 mDebye / A, RMSE_ALPHA_per_atom=    0.51, RMSE_ALPHA_DERIV=    2.99
2025-07-11 21:24:39.448 INFO: Epoch 12: head: Default, loss=1.3500, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.05 mDebye / A, RMSE_ALPHA_per_atom=    0.51, RMSE_ALPHA_DERIV=    2.34
2025-07-11 21:25:01.681 INFO: Epoch 13: head: Default, loss=3.3772, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.04 mDebye / A, RMSE_ALPHA_per_atom=    0.88, RMSE_ALPHA_DERIV=    3.53
2025-07-11 21:25:23.864 INFO: Epoch 14: head: Default, loss=1.2528, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.43, RMSE_ALPHA_DERIV=    2.38
2025-07-11 21:25:46.106 INFO: Epoch 15: head: Default, loss=1.8304, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.68, RMSE_ALPHA_DERIV=    2.52
2025-07-11 21:26:08.281 INFO: Epoch 16: head: Default, loss=1.0783, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.26, RMSE_ALPHA_DERIV=    2.40
2025-07-11 21:26:30.513 INFO: Epoch 17: head: Default, loss=1.8584, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.46, RMSE_ALPHA_DERIV=    3.01
2025-07-11 21:26:52.696 INFO: Epoch 18: head: Default, loss=1.7579, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.68, RMSE_ALPHA_DERIV=    2.42
