2025-07-11 21:19:40.222 INFO: ===========VERIFYING SETTINGS===========
2025-07-11 21:19:40.223 INFO: MACE version: 0.3.13
2025-07-11 21:19:40.337 INFO: CUDA version: 12.4, CUDA device: 0
2025-07-11 21:19:40.568 INFO: ===========LOADING INPUT DATA===========
2025-07-11 21:19:40.568 INFO: Using heads: ['Default']
2025-07-11 21:19:40.568 INFO: Using the key specifications to parse data:
2025-07-11 21:19:40.568 INFO: Default: KeySpecification(info_keys={'energy': 'None', 'stress': 'None', 'virials': 'REF_virials', 'dipole': 'dipole', 'polarizability': 'susceptibility_tensor', 'head': 'head'}, arrays_keys={'forces': 'None', 'dipole_deriv': 'dipole_deriv', 'polarizability_deriv': 'raman_tensor'})
2025-07-11 21:19:40.568 INFO: =============    Processing head Default     ===========
2025-07-11 21:19:40.708 INFO: Training set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 160, head: 160, forces: 0, dipole_deriv: 0, polarizability_deriv: 160]
2025-07-11 21:19:40.709 INFO: Total Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 160, head: 160, forces: 0, dipole_deriv: 0, polarizability_deriv: 160]
2025-07-11 21:19:40.709 INFO: No validation set provided, splitting training data instead.
2025-07-11 21:19:40.709 INFO: Using random 5% of training set for validation with following indices: [144, 73, 76, 5, 46, 150, 35, 153]
2025-07-11 21:19:40.710 INFO: Random Split Training set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 152, head: 152, forces: 0, dipole_deriv: 0, polarizability_deriv: 152]
2025-07-11 21:19:40.710 INFO: Random Split Validation set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 8, head: 8, forces: 0, dipole_deriv: 0, polarizability_deriv: 8]
2025-07-11 21:19:40.821 INFO: Test set 1/1 [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 160, head: 160, forces: 0, dipole_deriv: 0, polarizability_deriv: 160]
2025-07-11 21:19:40.821 INFO: Total Test set [energy: 0, stress: 0, virials: 0, dipole components: 0, polarizability: 160, head: 160, forces: 0, dipole_deriv: 0, polarizability_deriv: 160]
2025-07-11 21:19:40.822 INFO: Total number of configurations: train=152, valid=8, tests=[Default_Default: 160],
2025-07-11 21:19:40.822 WARNING: Validation batch size (10) is larger than the number of validation data (8)
2025-07-11 21:19:40.822 INFO: Atomic Numbers used: [16, 34, 42, 74]
2025-07-11 21:19:40.822 INFO: Processing datasets for head 'Default'
2025-07-11 21:19:40.973 INFO: Combining 1 list datasets for head 'Default'
2025-07-11 21:19:40.980 INFO: Head 'Default' training dataset size: 152
2025-07-11 21:19:40.980 INFO: Computing average number of neighbors
2025-07-11 21:19:41.201 INFO: Average number of neighbors: 19.012345679012345
2025-07-11 21:19:41.201 INFO: During training the following quantities will be reported: dipoles, polarizability, dipole_deriv, polarizability_deriv
2025-07-11 21:19:41.202 INFO: ===========MODEL DETAILS===========
2025-07-11 21:19:41.202 INFO: Building model
2025-07-11 21:19:41.202 INFO: Message passing with 128 channels and max_L=2 (128x0e + 128x1o + 128x2e)
2025-07-11 21:19:41.202 INFO: 2 layers, each with correlation order: 3 (body order: 4) and spherical harmonics up to: l=3
2025-07-11 21:19:41.202 INFO: 8 radial and 5 basis functions
2025-07-11 21:19:41.202 INFO: Radial cutoff: 5.0 A (total receptive field for each atom: 10.0 A)
2025-07-11 21:19:41.202 INFO: Distance transform for radial basis functions: None
2025-07-11 21:19:41.202 INFO: Hidden irreps: 128x0e + 128x1o + 128x2e
2025-07-11 21:19:43.804 INFO: Total number of parameters: 1104272
2025-07-11 21:19:43.804 INFO: 
2025-07-11 21:19:43.804 INFO: ===========OPTIMIZER INFORMATION===========
2025-07-11 21:19:43.804 INFO: Using ADAM as parameter optimizer
2025-07-11 21:19:43.804 INFO: Batch size: 10
2025-07-11 21:19:43.804 INFO: Number of gradient updates: 30400
2025-07-11 21:19:43.804 INFO: Learning rate: 0.01, weight decay: 5e-07
2025-07-11 21:19:43.806 INFO: DipolePolarizabilityDerivLoss(dipole_weight=0.000, polarizability_weight=10.000, dipole_deriv_weight=0.000, polarizability_deriv_weight=1.000)
2025-07-11 21:19:43.806 WARNING: Cannot find checkpoint with tag 'MoWSSe_susram_ndata_all_subset_160_weights_10_1_run-123' in './checkpoints'
2025-07-11 21:19:43.806 INFO: Using gradient clipping with tolerance=10.000
2025-07-11 21:19:43.806 INFO: 
2025-07-11 21:19:43.806 INFO: ===========TRAINING===========
2025-07-11 21:19:43.806 INFO: Started training, reporting errors on validation set
2025-07-11 21:19:43.806 INFO: Loss metrics on validation set
2025-07-11 21:19:46.692 INFO: Initial: head: Default, loss=172.3552, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=   11.05, RMSE_ALPHA_DERIV=   12.55
2025-07-11 21:20:22.151 INFO: Epoch 0: head: Default, loss=149.6348, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=   10.19, RMSE_ALPHA_DERIV=   12.59
2025-07-11 21:20:52.293 INFO: Epoch 1: head: Default, loss=94.6762, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.07 mDebye / A, RMSE_ALPHA_per_atom=    6.54, RMSE_ALPHA_DERIV=   18.16
2025-07-11 21:21:22.016 INFO: Epoch 2: head: Default, loss=29.8945, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.13 mDebye / A, RMSE_ALPHA_per_atom=    2.70, RMSE_ALPHA_DERIV=   12.88
2025-07-11 21:21:51.741 INFO: Epoch 3: head: Default, loss=10.8858, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.21 mDebye / A, RMSE_ALPHA_per_atom=    1.07, RMSE_ALPHA_DERIV=    8.69
2025-07-11 21:22:21.457 INFO: Epoch 4: head: Default, loss=10.7941, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.17 mDebye / A, RMSE_ALPHA_per_atom=    1.46, RMSE_ALPHA_DERIV=    8.06
2025-07-11 21:22:51.182 INFO: Epoch 5: head: Default, loss=8.0905, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.17 mDebye / A, RMSE_ALPHA_per_atom=    1.04, RMSE_ALPHA_DERIV=    7.35
2025-07-11 21:23:20.910 INFO: Epoch 6: head: Default, loss=6.8085, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.12 mDebye / A, RMSE_ALPHA_per_atom=    0.87, RMSE_ALPHA_DERIV=    6.85
2025-07-11 21:23:50.646 INFO: Epoch 7: head: Default, loss=5.8904, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.10 mDebye / A, RMSE_ALPHA_per_atom=    0.64, RMSE_ALPHA_DERIV=    6.56
2025-07-11 21:24:20.370 INFO: Epoch 8: head: Default, loss=5.4525, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.08 mDebye / A, RMSE_ALPHA_per_atom=    0.67, RMSE_ALPHA_DERIV=    6.26
2025-07-11 21:24:50.114 INFO: Epoch 9: head: Default, loss=4.7899, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.06 mDebye / A, RMSE_ALPHA_per_atom=    0.57, RMSE_ALPHA_DERIV=    5.92
2025-07-11 21:25:19.836 INFO: Epoch 10: head: Default, loss=4.4662, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.05 mDebye / A, RMSE_ALPHA_per_atom=    0.61, RMSE_ALPHA_DERIV=    5.66
2025-07-11 21:25:49.585 INFO: Epoch 11: head: Default, loss=3.6809, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.04 mDebye / A, RMSE_ALPHA_per_atom=    0.45, RMSE_ALPHA_DERIV=    5.24
2025-07-11 21:26:19.319 INFO: Epoch 12: head: Default, loss=3.4861, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.49, RMSE_ALPHA_DERIV=    5.05
2025-07-11 21:26:49.058 INFO: Epoch 13: head: Default, loss=3.0609, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.48, RMSE_ALPHA_DERIV=    4.71
2025-07-11 21:27:18.784 INFO: Epoch 14: head: Default, loss=3.2462, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.67, RMSE_ALPHA_DERIV=    4.63
2025-07-11 21:27:48.495 INFO: Epoch 15: head: Default, loss=3.2841, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.82, RMSE_ALPHA_DERIV=    4.42
2025-07-11 21:28:18.186 INFO: Epoch 16: head: Default, loss=2.5729, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.40, RMSE_ALPHA_DERIV=    4.36
2025-07-11 21:28:47.941 INFO: Epoch 17: head: Default, loss=2.3238, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.41, RMSE_ALPHA_DERIV=    4.11
2025-07-11 21:29:17.695 INFO: Epoch 18: head: Default, loss=2.4670, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.44, RMSE_ALPHA_DERIV=    4.22
